Outcome,LOW,MEDIUM,HIGH,set,drug,2nd
GI,D006471,D005767,D004066,POS,A12BA,D005767
GI,D006471,D005767,D004066,POS,B01AC,D005767
GI,D006471,D005767,D004066,POS,B05XA,D005767
GI,D006471,D005767,D004066,POS,C01EB,D005767
GI,D006471,D005767,D004066,POS,D10AF,D005767
GI,D006471,D005767,D004066,POS,G01AA,D005767
GI,D006471,D005767,D004066,POS,G02CC,D005767
GI,D006471,D005767,D004066,POS,J01FF,D005767
GI,D006471,D005767,D004066,POS,M01AB,D005767
GI,D006471,D005767,D004066,POS,M01AC,D005767
GI,D006471,D005767,D004066,POS,M01AE,D005767
GI,D006471,D005767,D004066,POS,M01AG,D005767
GI,D006471,D005767,D004066,POS,M01AH,D005767
GI,D006471,D005767,D004066,POS,M01AX,D005767
GI,D006471,D005767,D004066,POS,M02AA,D005767
GI,D006471,D005767,D004066,POS,N02BA,D005767
GI,D006471,D005767,D004066,POS,N06AB,D005767
GI,D006471,D005767,D004066,POS,R02AX,D005767
GI,D006471,D005767,D004066,POS,S01BC,D005767
GI,D006471,D005767,D004066,NEG,A01AB,D005767
GI,D006471,D005767,D004066,NEG,A02BX,D005767
GI,D006471,D005767,D004066,NEG,A03AA,D005767
GI,D006471,D005767,D004066,NEG,A03AB,D005767
GI,D006471,D005767,D004066,NEG,A03AX,D005767
GI,D006471,D005767,D004066,NEG,A04AD,D005767
GI,D006471,D005767,D004066,NEG,A06AD,D005767
GI,D006471,D005767,D004066,NEG,A07AA,D005767
GI,D006471,D005767,D004066,NEG,A07AC,D005767
GI,D006471,D005767,D004066,NEG,A08AA,D005767
GI,D006471,D005767,D004066,NEG,A08AB,D005767
GI,D006471,D005767,D004066,NEG,A09AA,D005767
GI,D006471,D005767,D004066,NEG,A10BF,D005767
GI,D006471,D005767,D004066,NEG,A10BG,D005767
GI,D006471,D005767,D004066,NEG,A10BH,D005767
GI,D006471,D005767,D004066,NEG,A11CA,D005767
GI,D006471,D005767,D004066,NEG,B03AA,D005767
GI,D006471,D005767,D004066,NEG,B03XA,D005767
GI,D006471,D005767,D004066,NEG,B05BC,D005767
GI,D006471,D005767,D004066,NEG,C04AB,D005767
GI,D006471,D005767,D004066,NEG,C05AD,D005767
GI,D006471,D005767,D004066,NEG,C09AA,D005767
GI,D006471,D005767,D004066,NEG,D01AA,D005767
GI,D006471,D005767,D004066,NEG,D01AC,D005767
GI,D006471,D005767,D004066,NEG,D01AE,D005767
GI,D006471,D005767,D004066,NEG,D01BA,D005767
GI,D006471,D005767,D004066,NEG,D02AE,D005767
GI,D006471,D005767,D004066,NEG,D04AB,D005767
GI,D006471,D005767,D004066,NEG,D07AC,D005767
GI,D006471,D005767,D004066,NEG,D10AD,D005767
GI,D006471,D005767,D004066,NEG,G01AF,D005767
GI,D006471,D005767,D004066,NEG,G04BD,D005767
GI,D006471,D005767,D004066,NEG,H01AA,D005767
GI,D006471,D005767,D004066,NEG,J01CE,D005767
GI,D006471,D005767,D004066,NEG,J01XD,D005767
GI,D006471,D005767,D004066,NEG,J01XE,D005767
GI,D006471,D005767,D004066,NEG,J02AB,D005767
GI,D006471,D005767,D004066,NEG,J02AC,D005767
GI,D006471,D005767,D004066,NEG,J05AF,D005767
GI,D006471,D005767,D004066,NEG,J05AG,D005767
GI,D006471,D005767,D004066,NEG,L01AA,D005767
GI,D006471,D005767,D004066,NEG,L01AX,D005767
GI,D006471,D005767,D004066,NEG,M03BA,D005767
GI,D006471,D005767,D004066,NEG,N01BA,D005767
GI,D006471,D005767,D004066,NEG,N01BB,D005767
GI,D006471,D005767,D004066,NEG,N02CA,D005767
GI,D006471,D005767,D004066,NEG,N05AB,D005767
GI,D006471,D005767,D004066,NEG,N05AD,D005767
GI,D006471,D005767,D004066,NEG,N05AF,D005767
GI,D006471,D005767,D004066,NEG,N05AN,D005767
GI,D006471,D005767,D004066,NEG,N05BA,D005767
GI,D006471,D005767,D004066,NEG,N05CD,D005767
GI,D006471,D005767,D004066,NEG,N05CM,D005767
GI,D006471,D005767,D004066,NEG,N06BA,D005767
GI,D006471,D005767,D004066,NEG,N07AA,D005767
GI,D006471,D005767,D004066,NEG,N07BB,D005767
GI,D006471,D005767,D004066,NEG,P01AB,D005767
GI,D006471,D005767,D004066,NEG,P02CA,D005767
GI,D006471,D005767,D004066,NEG,P03AA,D005767
GI,D006471,D005767,D004066,NEG,R01AD,D005767
GI,D006471,D005767,D004066,NEG,R01AX,D005767
GI,D006471,D005767,D004066,NEG,R02AD,D005767
GI,D006471,D005767,D004066,NEG,R03AC,D005767
GI,D006471,D005767,D004066,NEG,R03BA,D005767
GI,D006471,D005767,D004066,NEG,R05DB,D005767
GI,D006471,D005767,D004066,NEG,R06AX,D005767
GI,D006471,D005767,D004066,NEG,S01BC,D005767
GI,D006471,D005767,D004066,NEG,S01EB,D005767
GI,D006471,D005767,D004066,NEG,S01FA,D005767
GI,D006471,D005767,D004066,NEG,S01GX,D005767
GI,D006471,D005767,D004066,NEG,S01XA,D005767
GI,D006471,D005767,D004066,NEG,S02AA,D005767
GI,D006471,D005767,D004066,NEG,V03AB,D005767
AMI,D009203,D017202,D006331,POS,B01AC,D006331
AMI,D009203,D017202,D006331,POS,B03XA,D006331
AMI,D009203,D017202,D006331,POS,C01EB,D006331
AMI,D009203,D017202,D006331,POS,C08CA,D006331
AMI,D009203,D017202,D006331,POS,C09AA,D006331
AMI,D009203,D017202,D006331,POS,G02CB,D006331
AMI,D009203,D017202,D006331,POS,G03CA,D006331
AMI,D009203,D017202,D006331,POS,M01AB,D006331
AMI,D009203,D017202,D006331,POS,M01AC,D006331
AMI,D009203,D017202,D006331,POS,M01AE,D006331
AMI,D009203,D017202,D006331,POS,M01AX,D006331
AMI,D009203,D017202,D006331,POS,M02AA,D006331
AMI,D009203,D017202,D006331,POS,N02BA,D006331
AMI,D009203,D017202,D006331,POS,N02CC,D006331
AMI,D009203,D017202,D006331,POS,N04BC,D006331
AMI,D009203,D017202,D006331,POS,N06AA,D006331
AMI,D009203,D017202,D006331,POS,R02AX,D006331
AMI,D009203,D017202,D006331,POS,S01BC,D006331
AMI,D009203,D017202,D006331,NEG,A01AB,D006331
AMI,D009203,D017202,D006331,NEG,A02BX,D006331
AMI,D009203,D017202,D006331,NEG,A03AA,D006331
AMI,D009203,D017202,D006331,NEG,A03AB,D006331
AMI,D009203,D017202,D006331,NEG,A03AX,D006331
AMI,D009203,D017202,D006331,NEG,A04AD,D006331
AMI,D009203,D017202,D006331,NEG,A06AD,D006331
AMI,D009203,D017202,D006331,NEG,A07AA,D006331
AMI,D009203,D017202,D006331,NEG,A07AC,D006331
AMI,D009203,D017202,D006331,NEG,A07EC,D006331
AMI,D009203,D017202,D006331,NEG,A09AA,D006331
AMI,D009203,D017202,D006331,NEG,A10BF,D006331
AMI,D009203,D017202,D006331,NEG,A10BH,D006331
AMI,D009203,D017202,D006331,NEG,A11CA,D006331
AMI,D009203,D017202,D006331,NEG,B03AA,D006331
AMI,D009203,D017202,D006331,NEG,B05BC,D006331
AMI,D009203,D017202,D006331,NEG,C03AA,D006331
AMI,D009203,D017202,D006331,NEG,D01AC,D006331
AMI,D009203,D017202,D006331,NEG,D01AE,D006331
AMI,D009203,D017202,D006331,NEG,D01BA,D006331
AMI,D009203,D017202,D006331,NEG,D02AE,D006331
AMI,D009203,D017202,D006331,NEG,D07AC,D006331
AMI,D009203,D017202,D006331,NEG,D10AD,D006331
AMI,D009203,D017202,D006331,NEG,D10AF,D006331
AMI,D009203,D017202,D006331,NEG,G01AA,D006331
AMI,D009203,D017202,D006331,NEG,G01AF,D006331
AMI,D009203,D017202,D006331,NEG,G04BD,D006331
AMI,D009203,D017202,D006331,NEG,H01AA,D006331
AMI,D009203,D017202,D006331,NEG,H03BB,D006331
AMI,D009203,D017202,D006331,NEG,J01CE,D006331
AMI,D009203,D017202,D006331,NEG,J01EB,D006331
AMI,D009203,D017202,D006331,NEG,J01FF,D006331
AMI,D009203,D017202,D006331,NEG,J01MA,D006331
AMI,D009203,D017202,D006331,NEG,J01XD,D006331
AMI,D009203,D017202,D006331,NEG,J01XX,D006331
AMI,D009203,D017202,D006331,NEG,J02AB,D006331
AMI,D009203,D017202,D006331,NEG,J02AC,D006331
AMI,D009203,D017202,D006331,NEG,J05AE,D006331
AMI,D009203,D017202,D006331,NEG,J05AF,D006331
AMI,D009203,D017202,D006331,NEG,J05AG,D006331
AMI,D009203,D017202,D006331,NEG,L01AA,D006331
AMI,D009203,D017202,D006331,NEG,L02BB,D006331
AMI,D009203,D017202,D006331,NEG,M01CC,D006331
AMI,D009203,D017202,D006331,NEG,M03BA,D006331
AMI,D009203,D017202,D006331,NEG,N01BB,D006331
