Outcome,LOW,MEDIUM,HIGH,set,drug,2nd
GI,D006471,D005767,D004066,POS,N06AB04,D005767
GI,D006471,D005767,D004066,POS,D10AF01,D005767
GI,D006471,D005767,D004066,POS,B01AC04,D005767
GI,D006471,D005767,D004066,POS,N06AB10,D005767
GI,D006471,D005767,D004066,POS,M01AB08,D005767
GI,D006471,D005767,D004066,POS,N06AB03,D005767
GI,D006471,D005767,D004066,POS,C01EB16,D005767
GI,D006471,D005767,D004066,POS,C01EB03,D005767
GI,D006471,D005767,D004066,POS,M01AB15,D005767
GI,D006471,D005767,D004066,POS,M01AC06,D005767
GI,D006471,D005767,D004066,POS,M01AX01,D005767
GI,D006471,D005767,D004066,POS,G02CC02,D005767
GI,D006471,D005767,D004066,POS,M01AC01,D005767
GI,D006471,D005767,D004066,POS,A12BA01,D005767
GI,D006471,D005767,D004066,POS,N06AB06,D005767
GI,D006471,D005767,D004066,POS,M01AE12,D005767
GI,D006471,D005767,D004066,POS,N02BA11,D005767
GI,D006471,D005767,D004066,POS,M01AE04,D005767
GI,D006471,D005767,D004066,POS,M01AE09,D005767
GI,D006471,D005767,D004066,POS,M01AE03,D005767
GI,D006471,D005767,D004066,POS,M01AB02,D005767
GI,D006471,D005767,D004066,POS,M01AB03,D005767
GI,D006471,D005767,D004066,POS,M01AH03,D005767
GI,D006471,D005767,D004066,POS,M01AG01,D005767
GI,D006471,D005767,D004066,NEG,C01EB10,D005767
GI,D006471,D005767,D004066,NEG,R05DB01,D005767
GI,D006471,D005767,D004066,NEG,A03AA07,D005767
GI,D006471,D005767,D004066,NEG,B03XA01,D005767
GI,D006471,D005767,D004066,NEG,D07AC17,D005767
GI,D006471,D005767,D004066,NEG,D01AC08,D005767
GI,D006471,D005767,D004066,NEG,A06AD11,D005767
GI,D006471,D005767,D004066,NEG,R06AX13,D005767
GI,D006471,D005767,D004066,NEG,M03BA03,D005767
GI,D006471,D005767,D004066,NEG,J01XE01,D005767
GI,D006471,D005767,D004066,NEG,G04BD04,D005767
GI,D006471,D005767,D004066,NEG,J01CE02,D005767
GI,D006471,D005767,D004066,NEG,A10BG03,D005767
GI,D006471,D005767,D004066,NEG,N05AB04,D005767
GI,D006471,D005767,D004066,NEG,A10BG02,D005767
GI,D006471,D005767,D004066,NEG,R03AC12,D005767
GI,D006471,D005767,D004066,NEG,A04AD01,D005767
GI,D006471,D005767,D004066,NEG,A10BH01,D005767
GI,D006471,D005767,D004066,NEG,A02BX02,D005767
GI,D006471,D005767,D004066,NEG,N05CD07,D005767
GI,D006471,D005767,D004066,NEG,D01AE15,D005767
GI,D006471,D005767,D004066,NEG,B05BC02,D005767
GI,D006471,D005767,D004066,NEG,J05AF06,D005767
GI,D006471,D005767,D004066,NEG,A10BF01,D005767
GI,D006471,D005767,D004066,NEG,A09AA01,D005767
GI,D006471,D005767,D004066,NEG,C05AD03,D005767
GI,D006471,D005767,D004066,NEG,S01BC11,D005767
GI,D006471,D005767,D004066,NEG,L01AA02,D005767
GI,D006471,D005767,D004066,NEG,N05BA05,D005767
GI,D006471,D005767,D004066,NEG,H01AA02,D005767
GI,D006471,D005767,D004066,NEG,L01AX04,D005767
GI,D006471,D005767,D004066,NEG,G04BD10,D005767
GI,D006471,D005767,D004066,NEG,N07BB01,D005767
GI,D006471,D005767,D004066,NEG,N05AD08,D005767
GI,D006471,D005767,D004066,NEG,J05AF10,D005767
GI,D006471,D005767,D004066,NEG,N02CA02,D005767
GI,D006471,D005767,D004066,NEG,B03AA03,D005767
GI,D006471,D005767,D004066,NEG,D01AA08,D005767
GI,D006471,D005767,D004066,NEG,J02AC02,D005767
GI,D006471,D005767,D004066,NEG,R06AX17,D005767
GI,D006471,D005767,D004066,NEG,J05AF05,D005767
GI,D006471,D005767,D004066,NEG,N05AN01,D005767
GI,D006471,D005767,D004066,NEG,P02CA01,D005767
GI,D006471,D005767,D004066,NEG,A01AB09,D005767
GI,D006471,D005767,D004066,NEG,C09AA13,D005767
GI,D006471,D005767,D004066,NEG,N07AA01,D005767
GI,D006471,D005767,D004066,NEG,J05AG01,D005767
GI,D006471,D005767,D004066,NEG,A08AB01,D005767
GI,D006471,D005767,D004066,NEG,A07AA06,D005767
GI,D006471,D005767,D004066,NEG,N06BA05,D005767
GI,D006471,D005767,D004066,NEG,A08AA01,D005767
GI,D006471,D005767,D004066,NEG,C04AB01,D005767
GI,D006471,D005767,D004066,NEG,N01BB04,D005767
GI,D006471,D005767,D004066,NEG,A03AB05,D005767
GI,D006471,D005767,D004066,NEG,A03AX13,D005767
GI,D006471,D005767,D004066,NEG,J05AF04,D005767
GI,D006471,D005767,D004066,NEG,A04AD10,D005767
GI,D006471,D005767,D004066,NEG,D01AC06,D005767
GI,D006471,D005767,D004066,NEG,N05AF04,D005767
GI,D006471,D005767,D004066,NEG,J01XD02,D005767
GI,D006471,D005767,D004066,NEG,A11CA01,D005767
GI,D006471,D005767,D004066,NEG,J05AF01,D005767
AMI,D009203,D017202,D006331,POS,C08CA01,D006331
AMI,D009203,D017202,D006331,POS,B03XA02,D006331
AMI,D009203,D017202,D006331,POS,B01AC07,D006331
AMI,D009203,D017202,D006331,POS,B03XA01,D006331
AMI,D009203,D017202,D006331,POS,G03CA03,D006331
AMI,D009203,D017202,D006331,POS,G03CA57,D006331
AMI,D009203,D017202,D006331,POS,M01AB08,D006331
AMI,D009203,D017202,D006331,POS,C01EB03,D006331
AMI,D009203,D017202,D006331,POS,M01AB15,D006331
AMI,D009203,D017202,D006331,POS,M01AX01,D006331
AMI,D009203,D017202,D006331,POS,C08CA05,D006331
AMI,D009203,D017202,D006331,POS,N06AA10,D006331
AMI,D009203,D017202,D006331,POS,M01AE12,D006331
AMI,D009203,D017202,D006331,POS,M01AC01,D006331
AMI,D009203,D017202,D006331,POS,M01AB02,D006331
AMI,D009203,D017202,D006331,POS,N02CC01,D006331
AMI,D009203,D017202,D006331,POS,N02CC05,D006331
AMI,D009203,D017202,D006331,POS,N06AA17,D006331
AMI,D009203,D017202,D006331,POS,G02CB01,D006331
AMI,D009203,D017202,D006331,POS,N06AA01,D006331
AMI,D009203,D017202,D006331,POS,N02BA11,D006331
AMI,D009203,D017202,D006331,POS,N02CC06,D006331
AMI,D009203,D017202,D006331,POS,M01AE04,D006331
AMI,D009203,D017202,D006331,POS,M01AE09,D006331
AMI,D009203,D017202,D006331,POS,N02CC07,D006331
AMI,D009203,D017202,D006331,POS,N06AA02,D006331
AMI,D009203,D017202,D006331,POS,M01AE03,D006331
AMI,D009203,D017202,D006331,POS,C09AA13,D006331
AMI,D009203,D017202,D006331,POS,N02CC02,D006331
AMI,D009203,D017202,D006331,POS,N02CC04,D006331
AMI,D009203,D017202,D006331,POS,N02BA06,D006331
AMI,D009203,D017202,D006331,POS,M01AB03,D006331
AMI,D009203,D017202,D006331,POS,N02CC03,D006331
AMI,D009203,D017202,D006331,NEG,R05DB01,D006331
AMI,D009203,D017202,D006331,NEG,D10AF01,D006331
AMI,D009203,D017202,D006331,NEG,A03AA07,D006331
AMI,D009203,D017202,D006331,NEG,D07AC17,D006331
AMI,D009203,D017202,D006331,NEG,J01MA16,D006331
AMI,D009203,D017202,D006331,NEG,D01AC08,D006331
AMI,D009203,D017202,D006331,NEG,A06AD11,D006331
AMI,D009203,D017202,D006331,NEG,R06AX13,D006331
AMI,D009203,D017202,D006331,NEG,M03BA03,D006331
AMI,D009203,D017202,D006331,NEG,J01CE02,D006331
AMI,D009203,D017202,D006331,NEG,N05AB04,D006331
AMI,D009203,D017202,D006331,NEG,G04BD04,D006331
AMI,D009203,D017202,D006331,NEG,N05CH02,D006331
AMI,D009203,D017202,D006331,NEG,R03AC12,D006331
AMI,D009203,D017202,D006331,NEG,A04AD01,D006331
AMI,D009203,D017202,D006331,NEG,A10BH01,D006331
AMI,D009203,D017202,D006331,NEG,A02BX02,D006331
AMI,D009203,D017202,D006331,NEG,N05CD07,D006331
AMI,D009203,D017202,D006331,NEG,D01AE15,D006331
AMI,D009203,D017202,D006331,NEG,B05BC02,D006331
AMI,D009203,D017202,D006331,NEG,A10BF01,D006331
AMI,D009203,D017202,D006331,NEG,S01EC01,D006331
AMI,D009203,D017202,D006331,NEG,A09AA01,D006331
AMI,D009203,D017202,D006331,NEG,S01BC11,D006331
AMI,D009203,D017202,D006331,NEG,L01AA02,D006331
AMI,D009203,D017202,D006331,NEG,N05BA05,D006331
AMI,D009203,D017202,D006331,NEG,C03AA04,D006331
AMI,D009203,D017202,D006331,NEG,H01AA02,D006331
AMI,D009203,D017202,D006331,NEG,G04BD10,D006331
AMI,D009203,D017202,D006331,NEG,J05AF02,D006331
AMI,D009203,D017202,D006331,NEG,N05AD08,D006331
AMI,D009203,D017202,D006331,NEG,J05AF10,D006331
AMI,D009203,D017202,D006331,NEG,B03AA03,D006331
